# na=200 ne=200 amin=0.05 amax=1 emin=0 emax=0.95
# dt_days=5 t_years=10 seed=42 integrator=whfast_jacobi
a_init,e_init,da_over_a
0.05,0.5489949749,-2.1732615707037439e-13
0.05,0.5537688442,9.2981178312356860e-14
0.05,0.5585427136,8.7208018584306046e-13
0.05,0.5633165829,-1.8055001937966608e-13
0.05,0.5680904523,1.4405143744511406e-13
0.05,0.5728643216,6.3324345767057366e-13
0.05,0.577638191,2.5715540807880188e-13
0.05,0.5824120603,5.9466320756484947e-13
0.05,0.5871859296,-2.9420910152566648e-14
0.05,0.591959799,-4.6768144912334719e-14
0.05,0.5967336683,9.2009733165809848e-14
0.05,0.6015075377,-2.0303203562832550e-13
0.05,0.606281407,2.1649348980190553e-13
0.05,0.6110552764,-4.0606407125665100e-13
0.05,0.6158291457,-2.6117996654306808e-13
0.05,0.6206030151,-5.3707038816241948e-14
0.05,0.6253768844,-3.6248781754011361e-13
0.05,0.6301507538,-2.1246893133763933e-13
0.05,0.6349246231,-2.0289325775024736e-13
0.05,0.6396984925,-5.6066262743570405e-13
0.05,0.6444723618,4.0939474033052647e-14
0.05,0.6492462312,2.6992297286199118e-13
0.05,0.6540201005,5.4276028116362340e-13
0.05,0.6587939698,-2.4202861936828413e-13
0.05,0.6635678392,-7.6105788338054481e-13
0.05,0.6683417085,-4.1078251911130792e-13
0.05,0.6731155779,-7.8215212084842278e-13
0.05,0.6778894472,-7.2164496600635175e-15
0.05,0.6826633166,-2.4147350785597155e-14
0.05,0.6874371859,6.3019034435285448e-13
0.05,0.6922110553,8.8776208606589080e-13
0.05,0.6969849246,-6.2491678498588499e-13
0.05,0.701758794,1.1365908214600040e-13
0.05,0.7065326633,7.1567751724899153e-13
0.05,0.7113065327,7.4606987254810520e-13
0.05,0.716080402,6.2172489379008766e-13
0.05,0.7208542714,9.1801566348692631e-13
0.05,0.7256281407,-3.0989100174849682e-13
0.05,0.7304020101,2.7491897647280439e-13
0.05,0.7351758794,3.0656033267462135e-13
0.05,0.7399497487,2.9476421303797906e-13
0.05,0.7447236181,-8.7582718855117037e-13
0.05,0.7494974874,6.0312865812761629e-13
0.05,0.7542713568,1.0458300891968975e-12
0.05,0.7590452261,1.2888301537117286e-12
0.05,0.7638190955,-1.5148993171010261e-12
0.05,0.7685929648,-3.9329650647346170e-13
0.05,0.7733668342,-4.6823656063565977e-13
0.05,0.7781407035,-7.9658502016854982e-14
0.05,0.7829145729,-4.7822856785728618e-13
0.05,0.7876884422,9.3786090005210099e-13
0.05,0.7924623116,2.3134272275626699e-13
0.05,0.7972361809,-8.8401508335778090e-14
0.05,0.8020100503,5.1014747981525943e-13
0.05,0.8067839196,8.4668383415476001e-13
0.05,0.8115577889,8.5514928471752683e-13
0.05,0.8163316583,2.8699265186560297e-13
0.05,0.8211055276,-4.7170600758761339e-13
0.05,0.825879397,-4.7475912090533257e-13
0.05,0.8306532663,1.4946377469016170e-13
0.05,0.8354271357,-5.9910409966335010e-13
0.05,0.840201005,4.3798298321462426e-13
0.05,0.8449748744,5.8980598183211441e-14
0.05,0.8497487437,-5.2152726581766728e-13
0.05,0.8545226131,-3.1313840409552540e-12
0.05,0.8592964824,3.5041414214731503e-13
0.05,0.8640703518,-8.2600593032111647e-13
0.05,0.8688442211,3.8330449925183530e-13
0.05,0.8736180905,-1.7125190154843040e-13
0.05,0.8783919598,-2.1954660311962471e-13
0.05,0.8831658291,1.8768320231288271e-12
0.05,0.8879396985,-1.1865508575681361e-13
0.05,0.8927135678,-1.1887713036173864e-12
0.05,0.8974874372,1.7059964552146312e-12
0.05,0.9022613065,-1.0971779040858110e-12
0.05,0.9070351759,1.8610113450279187e-12
0.05,0.9118090452,-9.2370555648813024e-13
0.05,0.9165829146,4.4728110104585994e-13
0.05,0.9213567839,-1.7763568394002505e-14
0.05,0.9261306533,-1.6328605134674490e-12
0.05,0.9309045226,9.6062047205691670e-13
0.05,0.935678392,-1.2748135880258360e-12
0.05,0.9404522613,-4.0621672692253696e-12
0.05,0.9452261307,-3.2848723741096819e-12
0.05,0.95,1.1749490269608032e-11
0.05477386935,0,-1.1363425491093137e-13
0.05477386935,0.004773869347,-2.0763271326534729e-13
0.05477386935,0.009547738693,3.5623135430271906e-13
0.05477386935,0.01432160804,2.3499614588603980e-13
0.05477386935,0.01909547739,8.6397504848667995e-14
0.05477386935,0.02386934673,-3.4622343218681766e-13
0.05477386935,0.02864321608,8.3863853680085357e-14
0.05477386935,0.03341708543,-2.2574831912071314e-13
0.05477386935,0.03819095477,-1.2845611424713982e-13
0.05477386935,0.04296482412,1.0932704792434088e-13
0.05477386935,0.04773869347,4.7442618131709922e-13
0.05477386935,0.05251256281,-2.1181323769350862e-13
0.05477386935,0.05728643216,3.5496452871842775e-13
0.05477386935,0.06206030151,3.8929550205272250e-13
0.05477386935,0.06683417085,7.7403043200199624e-14
0.05477386935,0.0716080402,1.5974670617913539e-13
0.05477386935,0.07638190955,3.6459240315904177e-13
0.05477386935,0.08115577889,-3.6661932409390787e-13
0.05477386935,0.08592964824,2.0598584000576856e-13
0.05477386935,0.09070351759,4.1070485442724581e-13
0.05477386935,0.09547738693,6.5874930383148615e-14
0.05477386935,0.1002512563,2.2992884354887450e-13
0.05477386935,0.1050251256,5.7501213270983000e-13
0.05477386935,0.109798995,6.5874930383148617e-15
0.05477386935,0.1145728643,-3.6687268921076614e-13
0.05477386935,0.1193467337,3.2304052399428651e-14
0.05477386935,0.124120603,1.4695176777779307e-14
0.05477386935,0.1288944724,1.7608875621649342e-14
0.05477386935,0.1336683417,-2.1789400049810696e-14
0.05477386935,0.1384422111,-2.2131442957569352e-13
0.05477386935,0.1432160804,-3.9309597880559649e-13
0.05477386935,0.1479899497,-8.3610488563227098e-15
0.05477386935,0.1527638191,-5.5360278033530663e-14
0.05477386935,0.1575376884,-9.4631871146561578e-14
0.05477386935,0.1623115578,4.6872546618778823e-14
0.05477386935,0.1670854271,8.2723710654223163e-14
0.05477386935,0.1718592965,1.9129066322798926e-13
0.05477386935,0.1766331658,-4.8899467553644936e-14
0.05477386935,0.1814070352,-5.2953309423377156e-14
0.05477386935,0.1861809045,-1.9040388531898534e-13
0.05477386935,0.1909547739,1.2250203400097060e-13
0.05477386935,0.1957286432,-3.0961217280079850e-13
0.05477386935,0.2005025126,-9.0958076952116746e-14
0.05477386935,0.2052763819,2.5589876802684653e-13
0.05477386935,0.2100502513,-3.6788614967819919e-13
0.05477386935,0.2148241206,-2.7591461225864943e-13
0.05477386935,0.2195979899,3.0036434603547189e-13
0.05477386935,0.2243718593,7.2335740863034348e-14
0.05477386935,0.2291457286,-2.3068893889944928e-13
0.05477386935,0.233919598,1.8964378996841055e-13
0.05477386935,0.2386934673,-2.1333342839465822e-13
0.05477386935,0.2434673367,-1.8685677368296964e-13
0.05477386935,0.248241206,4.5859086151345773e-13
0.05477386935,0.2530150754,2.4285046450864599e-13
0.05477386935,0.2577889447,-2.3575624123661459e-13
0.05477386935,0.2625628141,6.9295359460735185e-14
0.05477386935,0.2673366834,9.3618410679128516e-14
0.05477386935,0.2721105528,-9.6025379289282022e-14
0.05477386935,0.2768844221,-9.5822687195795410e-13
0.05477386935,0.2816582915,2.2372139818584704e-13
0.05477386935,0.2864321608,1.5873324571170234e-13
0.05477386935,0.2912060302,-2.6894707154504713e-13
0.05477386935,0.2959798995,3.0973885535922765e-13
0.05477386935,0.3007537688,5.7944602225484962e-13
0.05477386935,0.3055276382,-8.4497266472231013e-14
0.05477386935,0.3103015075,7.9214603785736217e-13
0.05477386935,0.3150753769,-7.2259731327976872e-13
0.05477386935,0.3198492462,4.6353148129219388e-13
0.05477386935,0.3246231156,4.3452117541192264e-13
0.05477386935,0.3293969849,2.2486154121170922e-13
0.05477386935,0.3341708543,-6.8889975273761955e-13
0.05477386935,0.3389447236,-1.4327797358334825e-13
0.05477386935,0.343718593,9.4935909286791486e-13
0.05477386935,0.3484924623,5.6373738500963719e-14
0.05477386935,0.3532663317,-3.1911336468298342e-13
0.05477386935,0.358040201,9.8673044760450881e-13
0.05477386935,0.3628140704,1.0192878651207957e-12
0.05477386935,0.3675879397,3.2684100074716045e-14
0.05477386935,0.372361809,1.7393515272319817e-13
0.05477386935,0.3771356784,-7.2589105979892611e-14
0.05477386935,0.3819095477,9.2984997886982859e-14
0.05477386935,0.3866834171,4.7886007086211884e-13
0.05477386935,0.3914572864,-4.0931134628452534e-13
0.05477386935,0.3962311558,-2.4893122731324429e-13
0.05477386935,0.4010050251,7.2107712257861914e-13
0.05477386935,0.4057788945,-7.1537640744930816e-13
0.05477386935,0.4105527638,1.4429143405078130e-13
0.05477386935,0.4153266332,-6.8535264110160385e-14
0.05477386935,0.4201005025,-1.1325420723564398e-13
0.05477386935,0.4248743719,2.7984177156995247e-13
0.05477386935,0.4296482412,6.1922434560159699e-13
0.05477386935,0.4344221106,4.6568508478548908e-13
0.05477386935,0.4391959799,-2.4449733776822467e-13
0.05477386935,0.4439698492,-3.8207459622226199e-13
0.05477386935,0.4487437186,3.4926381358911681e-13
0.05477386935,0.4535175879,2.4551079823565772e-13
0.05477386935,0.4582914573,9.9534486157768984e-13
0.05477386935,0.4630653266,-9.0375337183342740e-13
0.05477386935,0.467839196,6.4392744449527772e-13
0.05477386935,0.4726130653,-2.0636588768105595e-13
0.05477386935,0.4773869347,6.8927980041290697e-13
0.05477386935,0.482160804,-2.1789400049810696e-14
0.05477386935,0.4869346734,-4.2020604630943073e-13
0.05477386935,0.4917085427,6.6888390850581678e-14
0.05477386935,0.4964824121,1.2376885958526194e-13
0.05477386935,0.5012562814,-6.1377699558914432e-13
0.05477386935,0.5060301508,-7.8416503667632687e-14
0.05477386935,0.5108040201,6.7749832247899768e-13
0.05477386935,0.5155778894,-1.0671738722070077e-12
0.05477386935,0.5203517588,7.1550309000773727e-13
0.05477386935,0.5251256281,-1.0432308686639016e-12
0.05477386935,0.5298994975,1.2680924098756109e-13
0.05477386935,0.5346733668,-5.6791790943779855e-13
0.05477386935,0.5394472362,-8.4649285542345976e-13
0.05477386935,0.5442211055,-2.7895499366094858e-13
0.05477386935,0.5489949749,-7.9569314949337784e-13
0.05477386935,0.5537688442,-1.7031203155212500e-12
0.05477386935,0.5585427136,1.3154716867281062e-12
0.05477386935,0.5633165829,-8.9298535436695116e-13
0.05477386935,0.5680904523,-9.4872568007576933e-13
0.05477386935,0.5728643216,-1.1162000223190816e-12
0.05477386935,0.577638191,-1.8602066879733738e-12
0.05477386935,0.5824120603,7.6427587500295308e-13
0.05477386935,0.5871859296,-2.7186077038891718e-13
0.05477386935,0.591959799,1.1262079444349831e-13
0.05477386935,0.5967336683,6.5570892242918700e-13
0.05477386935,0.6015075377,8.0202727741483446e-13
0.05477386935,0.606281407,-1.7447988772444344e-12
0.05477386935,0.6110552764,-1.5809983291955669e-13
0.05477386935,0.6158291457,-7.1347616907287117e-13
0.05477386935,0.6206030151,2.3256384076420047e-12
0.05477386935,0.6253768844,-6.8370576784202519e-13
0.05477386935,0.6301507538,1.2161525609196669e-12
0.05477386935,0.6349246231,7.2893144120122533e-13
0.05477386935,0.6396984925,1.6648621828756521e-12
0.05477386935,0.6444723618,7.0435502486597366e-14
0.05477386935,0.6492462312,-1.6152026199714325e-12
0.05477386935,0.6540201005,-2.5336511685826390e-14
0.05477386935,0.6587939698,2.6902308108010461e-12
0.05477386935,0.6635678392,2.5501199011784262e-12
0.05477386935,0.6683417085,-1.3661447100997591e-12
0.05477386935,0.6731155779,1.0591928710259724e-12
0.05477386935,0.6778894472,-2.1608243991257038e-12
0.05477386935,0.6826633166,1.4872532359580091e-12
0.05477386935,0.6874371859,1.2103251632319268e-12
0.05477386935,0.6922110553,1.4568494219350175e-14
0.05477386935,0.6969849246,1.8281560006908031e-12
0.05477386935,0.701758794,-2.8718935995884214e-12
