# na=200 ne=200 amin=0.05 amax=1 emin=0 emax=0.95
# dt_days=5 t_years=100 seed=42 integrator=whfast
a_init,e_init,da_over_a
0.05,0.248241206,-1.4885315202661786e-12
0.05,0.2530150754,-4.0169256809718945e-12
0.05,0.2577889447,4.5075054799781356e-13
0.05,0.2625628141,2.9018454306140029e-13
0.05,0.2673366834,-1.5008827514151335e-12
0.05,0.2721105528,-5.0015547259363302e-13
0.05,0.2768844221,-3.0697666630885578e-13
0.05,0.2816582915,8.0713213890248880e-13
0.05,0.2864321608,1.5806800313100666e-12
0.05,0.2912060302,2.7339241981394480e-14
0.05,0.2959798995,-2.1728452370695095e-12
0.05,0.3007537688,-5.9022231546634885e-13
0.05,0.3055276382,8.9539486936018875e-13
0.05,0.3103015075,-5.3637649877202875e-13
0.05,0.3150753769,-2.2232216068118760e-12
0.05,0.3198492462,7.7493567118835927e-13
0.05,0.3246231156,-1.8891832542777820e-12
0.05,0.3293969849,1.1970979763020750e-12
0.05,0.3341708543,-2.7713942252205470e-13
0.05,0.3389447236,-2.8883839764404229e-12
0.05,0.343718593,4.9835136017861714e-13
0.05,0.3484924623,-5.4026227935821680e-13
0.05,0.3532663317,-1.0332013022917863e-12
0.05,0.358040201,-4.3381964687227992e-13
0.05,0.3628140704,1.0783041126671833e-13
0.05,0.3675879397,3.0794811145540280e-13
0.05,0.372361809,2.1899149160731213e-13
0.05,0.3771356784,-1.7032208976530683e-12
0.05,0.3819095477,1.7848222899630173e-12
0.05,0.3866834171,1.3120060593507787e-12
0.05,0.3914572864,2.1885271372923398e-13
0.05,0.3962311558,-5.7537308251198738e-13
0.05,0.4010050251,7.6022521611207594e-13
0.05,0.4057788945,4.2729708660260712e-13
0.05,0.4105527638,-6.1395333261771157e-13
0.05,0.4153266332,-1.5733248037719250e-12
0.05,0.4201005025,4.1869285816176216e-13
0.05,0.4248743719,-7.1109784727241276e-13
0.05,0.4296482412,9.3786090005210099e-13
0.05,0.4344221106,-1.0036416142611415e-12
0.05,0.4391959799,-1.1834977442504169e-12
0.05,0.4439698492,4.4131365228849972e-14
0.05,0.4487437186,1.5748513604307846e-12
0.05,0.4535175879,-2.8713142974368111e-13
0.05,0.4582914573,9.9087404947795221e-14
0.05,0.4630653266,-4.9280024505549136e-13
0.05,0.467839196,8.4474094386166598e-13
0.05,0.4726130653,7.3538397593608806e-13
0.05,0.4773869347,-6.7584826624056404e-13
0.05,0.482160804,1.0214051826551440e-13
0.05,0.4869346734,1.2063960941333107e-12
0.05,0.4917085427,2.1609103395547891e-12
